"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"11" -99997.0037612053 -99997.3345386932 -99996.3431513307 -99997.8313549094 -99997.9615420716 -99996.8823556232 -99997.2616338808 -99994.541853527 -99996.6612939015 -99995.1204398741 -99997.6080343585 -99968.1133891231 -99800.7414339012 -99251.600357273 -98199.3625575995 -96724.034335711 -95377.1192529703 -94101.7879091365 -92963.5300098555 -92138.2872141184 -91210.0243676678 -90775.7090831064 -90091.6733531638 -89558.7662412764 -89183.3139285671 -88784.1690628139 -88317.1987686081 -88228.7870925594 -88006.1652988054 -88182.659248631 -88455.9478230401 -87948.8661833405 -88170.2630071123 -88312.5273598284 -88787.0336011795 -89161.5757278449 -88575.4791001838 -88755.2343115766 -89629.3691948283 -89786.9697985375 -90267.5743943017 -90267.4755853357 -90565.1366745312 -91689.7306554763 -91458.7325676643 -91695.5722969142 -91773.0617830711 -92769.988496425 -93246.5325018701 -93438.1098262017
"12" -99978.0277065181 -99975.8426245963 -99973.3463535262 -99972.1756298629 -99970.766990361 -99968.6752420218 -99970.102010393 -99962.8260960915 -99971.020534041 -99968.3601491733 -99968.1133891231 -99972.8063203326 -99804.4461758785 -99218.0279645775 -98155.2018584416 -96714.2396869583 -95366.0093706865 -94041.9734096941 -92850.2844992503 -91995.9049449658 -91025.8952116336 -90439.2681569618 -89526.8887734575 -89595.6793682867 -89088.1169451085 -88445.2532180004 -88492.6049956438 -88634.8295784158 -88649.3120528716 -87973.719312679 -88086.3041066161 -88325.4539035706 -88352.8434053404 -88408.3640843035 -88337.9348491618 -89010.1505615257 -89074.6406103357 -88996.2638659836 -89096.7653528243 -89408.9766697338 -90019.8489499871 -90297.7482906725 -90280.8987365781 -91335.686234642 -91703.8247388702 -91533.5473340532 -92039.0421090691 -92159.5683379281 -92860.1340847531 -92886.13257603
"13" -99845.1874522406 -99834.0752864405 -99837.4960585771 -99846.7770861139 -99830.3729197112 -99833.5485891509 -99827.5321154075 -99809.856354747 -99821.4519811087 -99815.9731680104 -99800.7414339012 -99804.4461758785 -99836.3339823023 -99228.1484805029 -98133.6802290767 -96610.4849947813 -95349.2097523077 -94008.1379513473 -93017.9106908934 -91900.6459455577 -91074.8149667286 -90339.5225937793 -89942.8446920714 -89104.2286525374 -88746.6205554675 -88730.2458941724 -88169.5518251818 -88232.4645624246 -88322.7540997995 -87812.4463558546 -87921.8127578728 -88470.5964665711 -87893.1143271632 -88280.3425342173 -88785.9471166835 -88516.9643903037 -88520.3535128357 -89180.4309549322 -89290.9128539628 -89708.4820415411 -90029.7842376671 -90293.2849703975 -90255.3374370686 -90245.8840277247 -91720.2447783695 -91755.9500755013 -91868.1588005215 -92515.291885654 -92545.0529218184 -93529.1315302553
"14" -99402.2124763007 -99390.2747391131 -99369.3063969252 -99379.6859747948 -99364.4210101506 -99348.9038791958 -99341.9778546653 -99319.5587719054 -99287.8063565595 -99310.6297381985 -99251.600357273 -99218.0279645775 -99228.1484805029 -99354.5624538275 -98019.8022230397 -96492.8062581963 -95104.7412897244 -93737.6428668882 -92909.052899569 -91835.3599209173 -91030.1601698108 -90182.5907357908 -89538.1497700577 -89187.4429447936 -89116.2271920656 -88161.383289885 -87689.6094182741 -88555.6545354832 -88213.8916613695 -87215.1412622688 -87736.183073326 -87720.1795883124 -87701.0252123532 -87958.1953093481 -87956.9663409325 -88366.5545631026 -88160.7200216553 -89110.6878373263 -89203.9996569341 -89430.7827497991 -89799.4325974025 -90125.2995378165 -90488.6919703386 -90226.0333609325 -91106.1406439892 -91484.8092001298 -91564.5295062485 -92732.5759046568 -92822.7154580831 -93362.1360570254
"15" -98422.1123796261 -98432.9603727761 -98424.7226729046 -98378.8811561019 -98352.7210848537 -98347.2052126183 -98266.2937920132 -98294.4043776897 -98270.3550979051 -98183.0270646258 -98199.3625575995 -98155.2018584416 -98133.6802290767 -98019.8022230397 -98347.7485550157 -96500.6448600729 -95216.4267401611 -93816.5498878721 -92795.0872535598 -91867.4000202803 -91150.1930059844 -90342.6823427563 -89592.6915760997 -89283.5266460301 -88550.7038236948 -88252.2118959548 -88563.0516908845 -87799.4105559545 -88100.1131863952 -87604.5411926072 -87904.421084742 -87954.2558472228 -87964.5188564775 -87953.882264475 -88558.9855561448 -88493.7490467139 -88934.2604724139 -88639.4570002496 -89433.5587365946 -89486.976745226 -90131.7424502552 -89532.317253592 -90025.5913239925 -91036.4259941165 -91161.8577677225 -91695.336418675 -91220.5907437942 -92046.1934463837 -91811.9889746053 -92628.4357012795
"16" -97224.445376963 -97243.0433521871 -97160.7225991807 -97115.6095825598 -97075.3020398394 -97025.7687429363 -96927.4114943174 -96932.6991243772 -96874.5231047751 -96817.7963935427 -96724.034335711 -96714.2396869583 -96610.4849947813 -96492.8062581963 -96500.6448600729 -96993.5554293226 -95106.2414408507 -93753.8622054936 -92684.3441779833 -91843.8752088449 -90542.2854770575 -90333.1409367571 -89484.9663539509 -89094.6016635835 -88350.7327636266 -88061.7069461779 -88079.2355971225 -88072.1035462256 -88138.5034826573 -87900.5339133675 -88075.6460527011 -87999.1964982556 -87791.6221238021 -88003.9945534166 -88075.1491919468 -88749.7148105709 -88578.5586207509 -88743.9350310971 -88965.7355008809 -89372.0449919023 -89363.6858799233 -89920.0150538112 -90810.4627832668 -90793.7219174276 -91486.5388524471 -91538.1071468356 -91638.5020373317 -92168.0604450329 -92380.3652313615 -92318.3674157818
"17" -95914.2231189686 -95907.2905685253 -95884.4778385677 -95787.9207684325 -95795.1022338269 -95711.8690810499 -95540.6737780214 -95468.4150847348 -95456.2415403741 -95550.3003038265 -95377.1192529703 -95366.0093706865 -95349.2097523077 -95104.7412897244 -95216.4267401611 -95106.2414408507 -95637.4849194516 -93525.4410178517 -92448.4561306448 -91515.8477506064 -90906.5224622515 -89876.1311533592 -89722.5256814858 -89013.0623416145 -88433.2513959302 -88224.0288833321 -87849.167968051 -87749.290847635 -87266.4318080637 -87375.6608742964 -88216.309710091 -87863.2309411832 -87939.4766531051 -87902.9795734042 -88226.6414821272 -88208.5836426402 -88627.0512367497 -88633.3469640937 -89201.5625309854 -88783.3560560822 -89454.6464486063 -89631.180117447 -90171.5217104721 -90303.2253758926 -91144.567427276 -91239.711242056 -91581.9237869792 -92181.291424444 -92310.8708571569 -92697.2762936598
"18" -94785.5672297001 -94774.5904914585 -94731.0032110903 -94630.8848469107 -94537.6511531451 -94556.1992983322 -94389.3422025945 -94393.8456979603 -94434.2131768129 -94176.6022129795 -94101.7879091365 -94041.9734096941 -94008.1379513473 -93737.6428668882 -93816.5498878721 -93753.8622054936 -93525.4410178517 -94399.8493788755 -92288.6504765232 -91423.6065081467 -90506.3420442099 -90130.4850766143 -89378.5916096498 -88514.2713415748 -88811.171710357 -88064.0282578094 -87994.4461071091 -87573.9592351476 -87872.3793455565 -87593.7059614505 -88025.0244620626 -88015.0615602144 -87946.0310362173 -88218.9421271647 -87968.1498048381 -88156.5205477033 -88977.5788671473 -88824.7675615953 -88973.9125176467 -88832.8150738905 -89627.1163172034 -89734.6266355839 -90206.6557290254 -90762.0309581451 -91037.0219469572 -90694.7047449325 -91563.2750984559 -91625.6021928214 -92138.6348628463 -92481.6501184049
"19" -93874.3450245253 -93714.3139796786 -93644.5292735413 -93601.5267745372 -93477.6145046867 -93443.5170670844 -93344.5286377718 -93271.3718186291 -93337.6913779039 -93036.1931620746 -92963.5300098555 -92850.2844992503 -93017.9106908934 -92909.052899569 -92795.0872535598 -92684.3441779833 -92448.4561306448 -92288.6504765232 -93294.5724905671 -91555.9554425315 -90883.0789722545 -89972.0917181165 -89454.1603806201 -88880.190132955 -88264.1405315093 -87855.2903844764 -87863.065721014 -87859.0288153948 -87681.4874500491 -87142.7110023801 -87346.775512702 -87906.1301426001 -87362.5208847984 -87651.8862116931 -87634.2204452002 -88347.0955931066 -88419.5956741848 -88417.1085511718 -88649.1247254174 -89126.4976457289 -89374.5887154315 -89431.5241442943 -90517.4777179369 -90347.1135294666 -90526.9249403111 -90907.5494319693 -91127.6955130219 -91573.831673564 -91459.1758865355 -92555.2646371157
"20" -92882.4193473593 -92782.9884224072 -92812.7183877571 -92666.4085097822 -92596.9475571867 -92515.1776564529 -92429.5382038349 -92536.7570249975 -92370.5779766381 -92240.9543542443 -92138.2872141184 -91995.9049449658 -91900.6459455577 -91835.3599209173 -91867.4000202803 -91843.8752088449 -91515.8477506064 -91423.6065081467 -91555.9554425315 -92368.9546575898 -90441.8674114508 -89930.4073875863 -89396.270381463 -88711.1627553918 -88706.5256316589 -88259.3354143967 -87606.2550092809 -87827.9093926901 -87653.644852322 -87737.9486472309 -87388.8880750323 -87722.3797932264 -87429.926561092 -87611.5248306479 -87989.4928056324 -88152.5056976459 -87934.5187167749 -88553.4960888857 -88957.2056242618 -89277.8745714453 -89370.5126366114 -89926.1987804536 -89534.5147357973 -90094.0993087672 -90174.442353076 -90830.3971024569 -91559.287358825 -90781.3302041015 -91342.082811903 -91403.1801664579
